"Code","Name"
601318,"中国平安"
600016,"民生银行"
600036,"招商银行"
601166,"兴业银行"
600000,"浦发银行"
600837,"海通证券"
600030,"中信证券"
600519,"贵州茅台"
601288,"农业银行"
601328,"交通银行"
601398,"工商银行"
601601,"中国太保"
600887,"伊利股份"
601088,"中国神华"
601668,"中国建筑"
600104,"上汽集团"
601006,"大秦铁路"
601169,"北京银行"
601818,"光大银行"
600015,"华夏银行"
600111,"包钢稀土"
600585,"海螺水泥"
600028,"中国石化"
600048,"保利地产"
601989,"中国重工"
600406,"国电南瑞"
600383,"金地集团"
601857,"中国石油"
600518,"康美药业"
600050,"中国联通"
600999,"招商证券"
600256,"广汇能源"
600637,"百视通"
601688,"华泰证券"
600018,"上港集团"
601901,"方正证券"
601628,"中国人寿"
601766,"中国南车"
601899,"紫金矿业"
601299,"中国北车"
601336,"新华保险"
600031,"三一重工"
600332,"白云山"
600010,"包钢股份"
600547,"山东黄金"
600489,"中金黄金"
601117,"中国化学"
600362,"江西铜业"
601699,"潞安环能"
600549,"厦门钨业"
